age,agent,career_stats_career_assists,career_stats_career_goals,citizenship,club,market_value,national_caps,national_goals,position,season_stats_appearances,season_stats_assists,season_stats_goals,season_stats_minutes,league,season_ga,market_value_bin
25,Robert Schneider,24.0,30.0,Germany,Bor. Dortmund,40000000.0,20.0,0.0,Centre-Back,37.0,6.0,0.0,3274.0,bundesliga,6.0,3
20,No Agent,2.0,2.0,Italy,Bor. Dortmund,600000.0,3.0,0.0,Centre-Back,6.0,0.0,0.0,273.0,bundesliga,0.0,0
31,ISM Int. Soccer ...,30.0,50.0,Germany,Bor. Dortmund,7000000.0,48.0,2.0,Defensive Midfield,45.0,2.0,6.0,3221.0,bundesliga,8.0,2
30,No Agent,18.0,36.0,Algeria,Bor. Dortmund,7000000.0,68.0,7.0,Left-Back,46.0,7.0,3.0,3066.0,bundesliga,10.0,2
19,No Agent,6.0,9.0,Germany,Bor. Dortmund,1000000.0,12.0,1.0,Left-Back,25.0,1.0,1.0,1577.0,bundesliga,2.0,0
23,CAA Stellar,22.0,6.0,Brazil,Bor. Dortmund,20000000.0,0.0,0.0,Right-Back,32.0,1.0,0.0,1240.0,bundesliga,1.0,3
27,No Agent,12.0,17.0,Norway,Bor. Dortmund,20000000.0,34.0,1.0,Right-Back,44.0,4.0,2.0,3380.0,bundesliga,6.0,3
27,Dirk Hebel,23.0,42.0,Türkiye,Bor. Dortmund,4000000.0,23.0,0.0,Defensive Midfield,26.0,0.0,0.0,790.0,bundesliga,0.0,1
19,No Agent,5.0,17.0,England,Bor. Dortmund,22000000.0,4.0,0.0,Central Midfield,45.0,3.0,5.0,3922.0,bundesliga,8.0,3
21,No Agent,14.0,16.0,England,Bor. Dortmund,18000000.0,0.0,0.0,Central Midfield,20.0,0.0,1.0,491.0,bundesliga,1.0,3
31,ROGON,91.0,141.0,Austria,Bor. Dortmund,8000000.0,89.0,21.0,Central Midfield,41.0,0.0,1.0,2676.0,bundesliga,1.0,2
34,Excellence Sport,123.0,96.0,Germany,Bor. Dortmund,5000000.0,15.0,1.0,Central Midfield,47.0,15.0,1.0,3613.0,bundesliga,16.0,1
24,No Agent,27.0,38.0,Germany,Bor. Dortmund,28000000.0,4.0,1.0,Central Midfield,38.0,3.0,6.0,2344.0,bundesliga,9.0,3
19,CAA Stellar,24.0,27.0,Germany,Bor. Dortmund,2500000.0,7.0,2.0,Central Midfield,27.0,1.0,7.0,1862.0,bundesliga,8.0,1
20,No Agent,19.0,29.0,England,Bor. Dortmund,50000000.0,11.0,1.0,Left Winger,49.0,5.0,12.0,2803.0,bundesliga,17.0,3
29,No Agent,144.0,124.0,Germany,Bor. Dortmund,25000000.0,48.0,3.0,Attacking Midfield,0.0,0.0,0.0,0.0,bundesliga,0.0,3
22,ROOF,28.0,27.0,States,Bor. Dortmund,7000000.0,32.0,8.0,Attacking Midfield,25.0,1.0,2.0,615.0,bundesliga,3.0,2
19,No Agent,6.0,3.0,Belgium,Bor. Dortmund,8500000.0,3.0,1.0,Left Winger,24.0,2.0,1.0,708.0,bundesliga,3.0,2
35,No Agent,8.0,0.0,Hungary,RB Leipzig,2000000.0,58.0,0.0,Goalkeeper,37.0,0.0,0.0,3262.0,bundesliga,0.0,1
23,ROOF,57.0,97.0,Germany,Bor. Dortmund,45000000.0,8.0,1.0,Right Winger,38.0,9.0,12.0,2261.0,bundesliga,21.0,3
31,No Agent,10.0,0.0,Germany,RB Leipzig,400000.0,0.0,0.0,Goalkeeper,0.0,0.0,0.0,0.0,bundesliga,0.0,0
22,11WINS,29.0,84.0,Germany,Bor. Dortmund,25000000.0,4.0,0.0,Centre-Forward,44.0,6.0,9.0,2345.0,bundesliga,15.0,3
29,No Agent,25.0,150.0,Guinea,Bor. Dortmund,45000000.0,22.0,9.0,Centre-Forward,47.0,9.0,35.0,3986.0,bundesliga,44.0,3
19,No Agent,22.0,21.0,States,Bor. Dortmund,1500000.0,2.0,1.0,Right Winger,23.0,3.0,3.0,1206.0,bundesliga,6.0,0
23,Wasserman,0.0,0.0,Belgium,RB Leipzig,8000000.0,0.0,0.0,Goalkeeper,12.0,0.0,0.0,968.0,bundesliga,0.0,2
32,ROGON,17.0,61.0,Hungary,RB Leipzig,8000000.0,58.0,6.0,Centre-Back,38.0,1.0,5.0,3394.0,bundesliga,6.0,2
22,BS Group ...,0.0,5.0,France,RB Leipzig,40000000.0,25.0,0.0,Centre-Back,31.0,0.0,0.0,2017.0,bundesliga,0.0,3
29,No Agent,15.0,22.0,Germany,RB Leipzig,8000000.0,22.0,0.0,Centre-Back,35.0,0.0,1.0,2037.0,bundesliga,1.0,2
27,ROOF,76.0,41.0,Germany,RB Leipzig,20000000.0,28.0,0.0,Left-Back,29.0,6.0,1.0,2300.0,bundesliga,7.0,3
20,Gestifute,1.0,3.0,France,RB Leipzig,18000000.0,1.0,0.0,Centre-Back,0.0,0.0,0.0,0.0,bundesliga,0.0,3
28,Sports360 GmbH,48.0,29.0,Germany,RB Leipzig,15000000.0,19.0,0.0,Right-Back,24.0,2.0,0.0,1613.0,bundesliga,2.0,2
20,TEAM VERMEEREN,10.0,4.0,Belgium,RB Leipzig,22000000.0,5.0,0.0,Defensive Midfield,39.0,2.0,0.0,2253.0,bundesliga,2.0,3
19,No Agent,7.0,1.0,Serbia,RB Leipzig,10000000.0,7.0,0.0,Right-Back,21.0,0.0,0.0,896.0,bundesliga,0.0,2
24,Wasserman,0.0,0.0,Netherlands,RB Leipzig,20000000.0,17.0,0.0,Right-Back,39.0,1.0,1.0,2808.0,bundesliga,2.0,3
27,ROOF,35.0,31.0,Mali,RB Leipzig,16000000.0,45.0,2.0,Central Midfield,40.0,2.0,0.0,2106.0,bundesliga,2.0,3
24,YOU FIRST,27.0,17.0,Austria,RB Leipzig,18000000.0,38.0,0.0,Central Midfield,41.0,1.0,0.0,2756.0,bundesliga,1.0,3
27,Sports360 GmbH,34.0,47.0,Germany,RB Leipzig,9000000.0,4.0,1.0,Right-Back,0.0,0.0,0.0,0.0,bundesliga,0.0,2
25,YOU FIRST,43.0,93.0,Austria,RB Leipzig,12000000.0,51.0,19.0,Attacking Midfield,43.0,2.0,5.0,2271.0,bundesliga,7.0,2
19,MR Sport Management ...,16.0,19.0,Germany,RB Leipzig,7000000.0,6.0,0.0,Central Midfield,5.0,0.0,0.0,70.0,bundesliga,0.0,2
22,No Agent,52.0,64.0,Netherlands,RB Leipzig,70000000.0,28.0,5.0,Attacking Midfield,33.0,8.0,11.0,2763.0,bundesliga,19.0,3
27,ROOF,45.0,32.0,Austria,RB Leipzig,10000000.0,45.0,4.0,Central Midfield,5.0,0.0,0.0,200.0,bundesliga,0.0,2
34,MR Sport Management ...,108.0,61.0,Slovenia,RB Leipzig,2500000.0,28.0,2.0,Central Midfield,34.0,0.0,1.0,2113.0,bundesliga,1.0,1
17,No Agent,12.0,18.0,Germany,RB Leipzig U19,350000.0,1.0,0.0,Attacking Midfield,22.0,2.0,4.0,1465.0,bundesliga,6.0,0
20,Aneke/PMG,14.0,17.0,Norway,RB Leipzig,28000000.0,15.0,5.0,Left Winger,40.0,8.0,5.0,2437.0,bundesliga,13.0,3
22,Pro transfer,26.0,100.0,Slovenia,RB Leipzig,70000000.0,41.0,16.0,Centre-Forward,45.0,6.0,21.0,3258.0,bundesliga,27.0,3
31,No Agent,75.0,117.0,Denmark,RB Leipzig,5000000.0,87.0,14.0,Centre-Forward,29.0,0.0,5.0,604.0,bundesliga,5.0,1
34,Sports360 GmbH,27.0,0.0,Germany,E. Frankfurt,2500000.0,9.0,0.0,Goalkeeper,36.0,0.0,0.0,3195.0,bundesliga,0.0,1
18,No Agent,4.0,19.0,France,RB Leipzig,3000000.0,0.0,0.0,Left Winger,31.0,3.0,2.0,1287.0,bundesliga,5.0,1
22,No Agent,6.0,0.0,Brazil,E. Frankfurt,2500000.0,2.0,0.0,Goalkeeper,14.0,0.0,0.0,1215.0,bundesliga,0.0,1
25,SB SPORT,3.0,11.0,Brazil,E. Frankfurt,15000000.0,0.0,0.0,Centre-Back,44.0,0.0,2.0,3472.0,bundesliga,2.0,2
25,No Agent,2.0,15.0,Belgium,E. Frankfurt,24000000.0,25.0,0.0,Centre-Back,42.0,0.0,0.0,3613.0,bundesliga,0.0,3
36,No Agent,4.0,0.0,Germany,E. Frankfurt,200000.0,0.0,0.0,Goalkeeper,0.0,0.0,0.0,0.0,bundesliga,0.0,0
25,No Agent,39.0,105.0,Belgium,RB Leipzig,50000000.0,27.0,3.0,Centre-Forward,45.0,11.0,13.0,3506.0,bundesliga,24.0,3
21,Signature - ISCM AG,2.0,13.0,Switzerland,E. Frankfurt,7500000.0,4.0,0.0,Centre-Back,13.0,0.0,0.0,201.0,bundesliga,0.0,2
21,11WINS,5.0,9.0,Germany,E. Frankfurt,10000000.0,7.0,0.0,Centre-Back,32.0,1.0,1.0,1957.0,bundesliga,2.0,2
24,No Agent,18.0,13.0,France,E. Frankfurt,3500000.0,6.0,0.0,Left-Back,23.0,0.0,0.0,946.0,bundesliga,0.0,1
28,11WINS,9.0,15.0,Germany,E. Frankfurt,18000000.0,14.0,0.0,Centre-Back,43.0,2.0,3.0,3735.0,bundesliga,5.0,3
27,BTAM,51.0,34.0,Denmark,E. Frankfurt,14000000.0,28.0,2.0,Right-Back,43.0,4.0,6.0,3547.0,bundesliga,10.0,2
22,No Agent,21.0,7.0,Germany,E. Frankfurt,22000000.0,11.0,1.0,Left-Back,33.0,7.0,3.0,2382.0,bundesliga,10.0,3
30,CAA Stellar,20.0,37.0,Tunisia,E. Frankfurt,7500000.0,70.0,3.0,Defensive Midfield,45.0,4.0,2.0,3208.0,bundesliga,6.0,2
20,No Agent,8.0,11.0,Sweden,E. Frankfurt,40000000.0,0.0,0.0,Central Midfield,47.0,2.0,6.0,3442.0,bundesliga,8.0,3
35,Sports eXcellence ...,28.0,29.0,States,E. Frankfurt,350000.0,29.0,1.0,Right-Back,3.0,0.0,0.0,22.0,bundesliga,0.0,0
33,Sports360 GmbH,132.0,135.0,Germany,E. Frankfurt,4000000.0,66.0,17.0,Attacking Midfield,35.0,3.0,5.0,2324.0,bundesliga,8.0,1
29,ISM Int. Soccer ...,49.0,25.0,Syria,E. Frankfurt,3500000.0,2.0,0.0,Central Midfield,0.0,0.0,0.0,0.0,bundesliga,0.0,1
22,No Agent,26.0,18.0,Algeria,E. Frankfurt,9000000.0,14.0,2.0,Attacking Midfield,38.0,3.0,2.0,1573.0,bundesliga,5.0,2
24,ROGON,12.0,21.0,France,E. Frankfurt,6000000.0,1.0,0.0,Right Midfield,12.0,2.0,2.0,502.0,bundesliga,4.0,2
20,No Agent,11.0,18.0,Hungary,E. Frankfurt,2000000.0,10.0,1.0,Attacking Midfield,3.0,1.0,0.0,198.0,bundesliga,1.0,1
20,FConsult,2.0,12.0,Denmark,E. Frankfurt,7500000.0,1.0,0.0,Central Midfield,22.0,0.0,1.0,741.0,bundesliga,1.0,2
23,No Agent,41.0,41.0,Germany,E. Frankfurt,15000000.0,27.0,4.0,Right Winger,44.0,8.0,6.0,2252.0,bundesliga,14.0,2
23,No Agent,25.0,50.0,France,E. Frankfurt,75000000.0,5.0,5.0,Centre-Forward,48.0,12.0,22.0,3644.0,bundesliga,34.0,3
22,ROGON,22.0,41.0,Croatia,E. Frankfurt,5000000.0,5.0,1.0,Centre-Forward,25.0,1.0,2.0,673.0,bundesliga,3.0,1
20,Concept Sport Agency,9.0,16.0,France,E. Frankfurt,17000000.0,2.0,1.0,Left Winger,33.0,4.0,3.0,1319.0,bundesliga,7.0,3
22,No Agent,14.0,50.0,France,E. Frankfurt,22000000.0,2.0,0.0,Centre-Forward,25.0,1.0,3.0,809.0,bundesliga,4.0,3
19,11WINS,13.0,72.0,Türkiye,E. Frankfurt,18000000.0,3.0,0.0,Attacking Midfield,31.0,3.0,5.0,1001.0,bundesliga,8.0,3
31,Sport Cover,45.0,196.0,Belgium,E. Frankfurt,4000000.0,55.0,27.0,Centre-Forward,41.0,2.0,10.0,1162.0,bundesliga,12.0,1
30,SEG,8.0,0.0,Germany,VfB Stuttgart,800000.0,5.0,0.0,Goalkeeper,3.0,0.0,0.0,270.0,bundesliga,0.0,0
27,Wasserman,8.0,16.0,Germany,VfB Stuttgart,12000000.0,4.0,0.0,Centre-Back,45.0,1.0,3.0,3365.0,bundesliga,4.0,2
19,ROGON,4.0,0.0,Germany,VfB Stuttgart,2500000.0,2.0,0.0,Goalkeeper,35.0,0.0,0.0,3150.0,bundesliga,0.0,1
28,No Agent,6.0,0.0,Germany,VfB Stuttgart,12000000.0,2.0,0.0,Goalkeeper,0.0,0.0,0.0,0.0,bundesliga,0.0,2
22,sportsfamilyoffice,0.0,12.0,Switzerland,VfB Stuttgart,6000000.0,0.0,0.0,Centre-Back,26.0,0.0,3.0,2079.0,bundesliga,3.0,2
26,CORESPORT,10.0,0.0,Germany,VfB Stuttgart,325000.0,0.0,0.0,Goalkeeper,4.0,0.0,0.0,360.0,bundesliga,0.0,0
18,Match2gether,0.0,7.0,Germany,VfB Stuttgart,20000000.0,7.0,0.0,Centre-Back,34.0,0.0,1.0,2679.0,bundesliga,1.0,3
23,No Agent,0.0,1.0,Belgium,VfB Stuttgart,7500000.0,6.0,0.0,Centre-Back,0.0,0.0,0.0,0.0,bundesliga,0.0,2
26,No Agent,1.0,5.0,France,VfB Stuttgart,2000000.0,6.0,2.0,Centre-Back,3.0,0.0,0.0,28.0,bundesliga,0.0,1
21,No Agent,3.0,3.0,Japan,VfB Stuttgart,3000000.0,0.0,0.0,Centre-Back,28.0,2.0,1.0,1865.0,bundesliga,3.0,1
23,Forza Sports Group,3.0,5.0,Netherlands,VfB Stuttgart,5000000.0,7.0,0.0,Left-Back,31.0,1.0,0.0,1536.0,bundesliga,1.0,1
24,Sports360 GmbH,50.0,18.0,Germany,VfB Stuttgart,45000000.0,4.0,0.0,Defensive Midfield,47.0,11.0,4.0,3954.0,bundesliga,15.0,3
28,No Agent,20.0,16.0,Türkiye,VfB Stuttgart,12000000.0,0.0,0.0,Defensive Midfield,46.0,4.0,3.0,3745.0,bundesliga,7.0,2
24,FTC,19.0,27.0,Germany,VfB Stuttgart,10000000.0,1.0,0.0,Right-Back,35.0,3.0,2.0,2475.0,bundesliga,5.0,2
23,ONEANDTEN,4.0,3.0,Switzerland,VfB Stuttgart,5000000.0,6.0,0.0,Right-Back,0.0,0.0,0.0,0.0,bundesliga,0.0,1
26,Teamgeist ...,45.0,60.0,Denmark,VfB Stuttgart,5000000.0,7.0,1.0,Left Winger,35.0,3.0,3.0,1249.0,bundesliga,6.0,1
25,Unique Sports Group,11.0,15.0,Germany,VfB Stuttgart,3500000.0,15.0,0.0,Defensive Midfield,18.0,0.0,1.0,526.0,bundesliga,1.0,1
27,KL Sportsbase,44.0,59.0,Germany,VfB Stuttgart,15000000.0,8.0,0.0,Left Winger,46.0,4.0,4.0,2906.0,bundesliga,8.0,2
22,No Agent,23.0,24.0,France,VfB Stuttgart,35000000.0,1.0,0.0,Attacking Midfield,43.0,8.0,12.0,2856.0,bundesliga,20.0,3
23,Wasserman,0.0,0.0,Switzerland,VfB Stuttgart,6000000.0,19.0,1.0,Right Winger,33.0,7.0,2.0,1354.0,bundesliga,9.0,2
20,No Agent,15.0,45.0,Germany,VfB Stuttgart,3000000.0,8.0,1.0,Left Winger,0.0,0.0,0.0,0.0,bundesliga,0.0,1
23,No Agent,31.0,74.0,Germany,VfB Stuttgart,30000000.0,2.0,0.0,Second Striker,33.0,3.0,17.0,2039.0,bundesliga,20.0,3
29,Unique Sports Group,25.0,22.0,Germany,VfB Stuttgart,2000000.0,8.0,0.0,Right-Back,19.0,1.0,1.0,755.0,bundesliga,2.0,1
27,ROOF,56.0,112.0,Bosnia-Herzegovina,VfB Stuttgart,22000000.0,34.0,4.0,Centre-Forward,49.0,6.0,17.0,2732.0,bundesliga,23.0,3
24,No Agent,17.0,20.0,Germany,VfB Stuttgart,20000000.0,2.0,1.0,Right Winger,0.0,0.0,0.0,0.0,bundesliga,0.0,3
20,No Agent,14.0,17.0,Germany,VfB Stuttgart,400000.0,6.0,0.0,Right Winger,6.0,1.0,0.0,381.0,bundesliga,1.0,0
37,No Agent,20.0,0.0,Austria,VfL Wolfsburg,300000.0,7.0,0.0,Goalkeeper,0.0,0.0,0.0,0.0,bundesliga,0.0,0
31,Unique Sports Group,28.0,0.0,Germany,VfL Wolfsburg,1500000.0,0.0,0.0,Goalkeeper,7.0,0.0,0.0,564.0,bundesliga,0.0,0
22,Wasserman,17.0,70.0,Germany,VfB Stuttgart,400000.0,2.0,0.0,Centre-Forward,33.0,3.0,7.0,1671.0,bundesliga,10.0,0
21,BTAM,11.0,41.0,Denmark,VfB Stuttgart,700000.0,11.0,2.0,Centre-Forward,22.0,1.0,8.0,1007.0,bundesliga,9.0,0
26,BMG-SPORT,17.0,0.0,Poland,VfL Wolfsburg,14000000.0,1.0,0.0,Goalkeeper,32.0,0.0,0.0,2886.0,bundesliga,0.0,2
28,Tenet Football,69.0,155.0,Germany,VfB Stuttgart,20000000.0,0.0,0.0,Centre-Forward,38.0,6.0,13.0,2415.0,bundesliga,19.0,3
23,No Agent,9.0,24.0,Mali,VfB Stuttgart,15000000.0,21.0,8.0,Centre-Forward,17.0,1.0,3.0,487.0,bundesliga,4.0,2
18,No Agent,1.0,2.0,France,VfL Wolfsburg,600000.0,3.0,0.0,Centre-Back,7.0,1.0,0.0,593.0,bundesliga,1.0,0
29,No Agent,9.0,26.0,Slovakia,VfL Wolfsburg,7000000.0,28.0,2.0,Centre-Back,43.0,0.0,3.0,3626.0,bundesliga,3.0,2
19,11WINS,5.0,7.0,Germany,VfL Wolfsburg,1500000.0,3.0,0.0,Centre-Back,10.0,0.0,2.0,784.0,bundesliga,2.0,0
28,BTAM,41.0,18.0,Denmark,VfL Wolfsburg,14000000.0,0.0,0.0,Left-Back,31.0,4.0,3.0,2487.0,bundesliga,7.0,2
