age,agent,birth_date,career_stats_career_appearances,career_stats_career_assists,career_stats_career_goals,career_stats_career_minutes,citizenship,club,height,market_value,name,national_caps,national_goals,position,profile_url,season_stats_appearances,season_stats_assists,season_stats_goals,season_stats_minutes
29,Murdock Sports Group,"Oct 21, 1995",378,10,21,32143,Australia,Ipswich,"1,94 m","€2.00m May 30, 2025",Cameron Burgess,13,0,Centre-Back,https://www.transfermarkt.com/cameron-burgess/profil/spieler/255788,22,3,-,"1,856'"
32,,"Mar 4, 1993",418,39,13,34415,England,Ipswich,"1,83 m","€800k May 30, 2025",Conor Townsend,,,Left-Back,https://www.transfermarkt.com/conor-townsend/profil/spieler/146509,10,2,-,725'
25,Two Touch Agency,"Dec 31, 1999",166,40,6,12532,England,Ipswich,"1,82 m","€22.00m May 30, 2025",Leif Davis,,,Left-Back,https://www.transfermarkt.com/leif-davis/profil/spieler/596446,33,3,1,"2,746'"
21,,"Jan 23, 2004",143,18,31,7715,Paraguay,Ipswich,"1,73 m","€22.00m May 30, 2025",Julio Enciso,25,3,Attacking Midfield,https://www.transfermarkt.com/julio-enciso/profil/spieler/660867,29,4,3,"1,458'"
33,,"Sep 10, 1991",574,48,33,47251,Egypt,Ipswich,"1,75 m","€500k May 30, 2025",Sam Morsy,9,0,Central Midfield,https://www.transfermarkt.com/sam-morsy/profil/spieler/123551,34,1,1,"2,877'"
26,Unique Sports Group,"Jun 23, 1998",332,23,40,23406,Ireland,Ipswich,"1,85 m","€3.00m May 30, 2025",Jack Taylor,5,0,Central Midfield,https://www.transfermarkt.com/jack-taylor/profil/spieler/458178,36,-,2,"1,134'"
29,CAA Stellar,"Dec 2, 1995",298,14,16,21000,England,Ipswich,"1,79 m","€12.00m May 30, 2025",Kalvin Phillips,31,1,Defensive Midfield,https://www.transfermarkt.com/kalvin-phillips/profil/spieler/351749,22,-,1,"1,464'"
32,,"Sep 25, 1992",428,37,34,33565,Australia,Ipswich,"1,76 m","€400k May 30, 2025",Massimo Luongo,41,6,Central Midfield,https://www.transfermarkt.com/massimo-luongo/profil/spieler/181687,,,,
25,,"Aug 10, 1999",221,9,12,12596,Sweden,Ipswich,"1,88 m","€12.00m May 30, 2025",Jens Cajuste,25,0,Defensive Midfield,https://www.transfermarkt.com/jens-cajuste/profil/spieler/468066,33,1,1,"2,108'"
29,,"Feb 24, 1996",392,48,56,22441,Ireland,Ipswich,"1,82 m","€800k May 27, 2025",Marcus Harness,,,Attacking Midfield,https://www.transfermarkt.com/marcus-harness/profil/spieler/288323,,,,
29,,"Sep 24, 1995",378,40,114,26164,Ireland,Ipswich,"1,68 m","€10.00m May 30, 2025",Sammie Szmodics,10,0,Attacking Midfield,https://www.transfermarkt.com/sammie-szmodics/profil/spieler/292139,23,2,7,"1,125'"
21,,"Oct 30, 2003",155,34,39,10851,England,Ipswich,"1,74 m","€22.00m May 30, 2025",Omari Hutchinson,,,Attacking Midfield,https://www.transfermarkt.com/omari-hutchinson/profil/spieler/741238,32,2,3,"2,605'"
24,SMI Sports ...,"Nov 23, 2000",230,39,39,14869,England,Ipswich,"1,81 m","€15.00m May 30, 2025",Jack Clarke,,,Left Winger,https://www.transfermarkt.com/jack-clarke/profil/spieler/559794,38,7,4,"1,661'"
27,,"Apr 5, 1998",216,22,61,13096,Wales,Ipswich,"1,78 m","€4.50m May 30, 2025",Nathan Broadhead,14,2,Left Winger,https://www.transfermarkt.com/nathan-broadhead/profil/spieler/344009,21,1,2,836'
23,,"Feb 8, 2002",156,13,43,10123,England,Ipswich,"1,81 m","€16.00m May 30, 2025",Jaden Philogene,9,4,Left Winger,https://www.transfermarkt.com/jaden-philogene/profil/spieler/665390,26,-,3,"1,087'"
28,,"May 1, 1997",259,37,33,17557,Ireland,Ipswich,"1,81 m","€7.00m May 30, 2025",Chiedozie Ogbene,24,4,Right Winger,https://www.transfermarkt.com/chiedozie-ogbene/profil/spieler/392591,9,-,-,531'
28,CAA Stellar,"Feb 16, 1997",409,36,105,23079,England,Ipswich,"1,68 m","€6.00m May 30, 2025",Conor Chaplin,,,Second Striker,https://www.transfermarkt.com/conor-chaplin/profil/spieler/349503,23,1,2,944'
26,Footwork,"Feb 15, 1999",222,22,52,11389,Scotland,Ipswich,"1,91 m","€4.00m May 30, 2025",George Hirst,4,1,Centre-Forward,https://www.transfermarkt.com/george-hirst/profil/spieler/420808,,,,
30,CAA Stellar,"Nov 23, 1994",439,52,67,27366,Wales,Ipswich,"1,73 m","€2.00m May 30, 2025",Wes Burns,10,0,Right Winger,https://www.transfermarkt.com/wes-burns/profil/spieler/255731,,,,
32,,"Nov 6, 1992",401,23,1,35735,Germany,Man City,"1,85 m","€8.00m May 30, 2025",Stefan Ortega,,,Goalkeeper,https://www.transfermarkt.com/stefan-ortega/profil/spieler/85941,21,,,"1,819'"
33,Refuel Performance ...,"May 24, 1992",257,26,,22956,England,Man City,"1,93 m","€600k May 30, 2025",Marcus Bettinelli,0,0,Goalkeeper,https://www.transfermarkt.com/marcus-bettinelli/profil/spieler/116648,-,,,0'
39,Wasserman,"Sep 3, 1985",522,28,,46879,England,Man City,"1,88 m","€100k May 30, 2025",Scott Carson,4,0,Goalkeeper,https://www.transfermarkt.com/scott-carson/profil/spieler/14555,-,,,0'
31,Gestifute,"Aug 17, 1993",496,47,,44069,Brazil,Man City,"1,88 m","€20.00m May 30, 2025",Ederson,29,0,Goalkeeper,https://www.transfermarkt.com/ederson/profil/spieler/238223,38,,,"3,401'"
28,Gestifute,"May 14, 1997",425,13,16,36453,Portugal,Man City,"1,87 m","€65.00m May 30, 2025",Rúben Dias,68,3,Centre-Back,https://www.transfermarkt.com/ruben-dias/profil/spieler/258004,,,,
31,Wasserman,"May 28, 1994",412,10,21,31401,England,Man City,"1,88 m","€25.00m May 30, 2025",John Stones,83,3,Centre-Back,https://www.transfermarkt.com/john-stones/profil/spieler/186590,20,2,3,"1,134'"
30,Wasserman,"Feb 18, 1995",364,15,26,28118,Netherlands,Man City,"1,80 m","€25.00m May 30, 2025",Nathan Aké,54,5,Centre-Back,https://www.transfermarkt.com/nathan-ake/profil/spieler/177476,19,-,-,"1,223'"
19,P&P Sport ...,"Jan 12, 2006",43,,2,3393,Brazil,Man City,"1,86 m","€30.00m May 30, 2025",Vitor Reis,8,0,Centre-Back,https://www.transfermarkt.com/vitor-reis/profil/spieler/1005575,5,-,-,316'
21,Football Group LLC,"Feb 29, 2004",78,5,5,6292,Uzbekistan,Man City,"1,86 m","€35.00m May 30, 2025",Abdukodir Khusanov,22,0,Centre-Back,https://www.transfermarkt.com/abdukodir-khusanov/profil/spieler/763079,25,1,1,"1,903'"
29,Wasserman,"Jul 19, 1995",444,9,17,36883,Switzerland,Man City,"1,88 m","€28.00m May 30, 2025",Manuel Akanji,71,3,Centre-Back,https://www.transfermarkt.com/manuel-akanji/profil/spieler/284730,,,,
23,Marjan Sisic,"Jan 23, 2002",250,12,20,19815,Croatia,Man City,"1,85 m","€75.00m May 30, 2025",Josko Gvardiol,42,3,Left-Back,https://www.transfermarkt.com/josko-gvardiol/profil/spieler/475959,53,2,6,"4,513'"
24,CAA Stellar,"Jun 6, 2001",186,23,12,13419,Algeria,Man City,"1,80 m","€35.00m May 30, 2025",Rayan Aït-Nouri,,,Left-Back,https://www.transfermarkt.com/rayan-ait-nouri/profil/spieler/578391,41,7,5,"3,407'"
26,,"Jul 29, 1998",359,40,54,26659,Netherlands,Man City,"1,85 m","€60.00m Jun 17, 2025",Tijjani Reijnders,23,4,Central Midfield,https://www.transfermarkt.com/tijjani-reijnders/profil/spieler/460939,55,5,15,"4,681'"
29,,"Jun 22, 1996",435,38,33,33064,Spain,Man City,"1,91 m","€110.00m May 30, 2025",Rodri,57,4,Defensive Midfield,https://www.transfermarkt.com/rodri/profil/spieler/357565,5,-,-,193'
20,,"Nov 21, 2004",139,12,10,9692,England,Man City,"1,70 m","€40.00m May 30, 2025",Rico Lewis,5,0,Right-Back,https://www.transfermarkt.com/rico-lewis/profil/spieler/701057,,,,
26,Gestifute,"Aug 27, 1998",253,28,16,16203,Portugal,Man City,"1,83 m","€35.00m May 30, 2025",Matheus Nunes,16,2,Central Midfield,https://www.transfermarkt.com/matheus-nunes/profil/spieler/601883,40,10,4,"2,681'"
23,Gestifute,"Jan 3, 2002",188,15,16,11412,Spain,Man City,"1,88 m","€40.00m May 30, 2025",Nico González,,,Central Midfield,https://www.transfermarkt.com/nico-gonzalez/profil/spieler/466805,,,,
31,VPA SPORTS ...,"May 6, 1994",579,49,34,35652,Croatia,Man City,"1,77 m","€20.00m May 30, 2025",Mateo Kovacic,110,5,Central Midfield,https://www.transfermarkt.com/mateo-kovacic/profil/spieler/51471,42,3,7,"2,834'"
34,ROOF,"Oct 24, 1990",659,85,118,47833,Germany,Man City,"1,80 m","€5.00m May 30, 2025",İlkay Gündoğan,82,19,Central Midfield,https://www.transfermarkt.com/ilkay-gundogan/profil/spieler/53622,51,7,3,"3,192'"
30,Gestifute,"Aug 10, 1994",592,98,106,42279,Portugal,Man City,"1,73 m","€38.00m May 30, 2025",Bernardo Silva,102,13,Attacking Midfield,https://www.transfermarkt.com/bernardo-silva/profil/spieler/241641,49,4,5,"3,902'"
19,,"Jan 2, 2006",51,8,4,2608,Argentina,Man City,"1,70 m","€18.00m May 30, 2025",Claudio Echeverri,9,5,Attacking Midfield,https://www.transfermarkt.com/claudio-echeverri/profil/spieler/994536,2,-,-,19'
33,Roc Nation Sports,"Jun 28, 1991",651,261,155,48653,Belgium,Man City,"1,81 m","€20.00m May 30, 2025",Kevin De Bruyne,111,31,Attacking Midfield,https://www.transfermarkt.com/kevin-de-bruyne/profil/spieler/88755,40,8,6,"2,391'"
29,CAA Stellar,"Sep 10, 1995",452,82,60,31190,England,Man City,"1,80 m","€28.00m May 30, 2025",Jack Grealish,39,4,Left Winger,https://www.transfermarkt.com/jack-grealish/profil/spieler/203460,32,5,3,"1,521'"
23,Elevate,"May 27, 2002",215,38,31,12016,Belgium,Man City,"1,73 m","€50.00m May 30, 2025",Jérémy Doku,33,3,Left Winger,https://www.transfermarkt.com/jeremy-doku/profil/spieler/486049,39,9,7,"2,046'"
22,YMU Management Ltd.,"Oct 18, 2002",198,37,67,11943,England,Man City,"1,80 m","€20.00m May 30, 2025",James McAtee,21,7,Attacking Midfield,https://www.transfermarkt.com/james-mcatee/profil/spieler/583199,27,-,7,936'
21,Promanager,"Apr 10, 2004",141,26,17,7977,Brazil,Man City,"1,76 m","€50.00m May 30, 2025",Savinho,13,1,Right Winger,https://www.transfermarkt.com/savinho/profil/spieler/743591,46,12,2,"2,877'"
25,,"May 28, 2000",358,74,119,23091,England,Man City,"1,71 m","€100.00m May 30, 2025",Phil Foden,45,4,Right Winger,https://www.transfermarkt.com/phil-foden/profil/spieler/406635,46,7,11,"2,905'"
21,CAA Stellar,"Jul 12, 2003",146,36,33,10065,Norway,Man City,"1,75 m","€25.00m May 30, 2025",Oscar Bobb,10,2,Right Winger,https://www.transfermarkt.com/oscar-bobb/profil/spieler/661207,6,1,-,196'
21,,"Aug 17, 2003",213,47,40,11476,France,Man City,"1,77 m","€45.00m Jun 3, 2025",Rayan Cherki,2,1,Right Winger,https://www.transfermarkt.com/rayan-cherki/profil/spieler/607223,45,20,12,"3,158'"
24,Rafaela Pimenta,"Jul 21, 2000",326,56,256,23622,Norway,Man City,"1,95 m","€180.00m May 30, 2025",Erling Haaland,43,42,Centre-Forward,https://www.transfermarkt.com/erling-haaland/profil/spieler/418560,,,,
26,CAA Stellar,"Feb 7, 1999",237,35,78,14333,Egypt,Man City,"1,83 m","€75.00m May 30, 2025",Omar Marmoush,,,Centre-Forward,https://www.transfermarkt.com/omar-marmoush/profil/spieler/445939,49,17,28,"3,693'"
29,,"Sep 15, 1995",422,12,,38160,Spain,Arsenal,"1,83 m","€40.00m May 30, 2025",David Raya,11,0,Goalkeeper,https://www.transfermarkt.com/david-raya/profil/spieler/262749,55,,,"4,980'"
24,ND SPORTS MANAGEMENT,"Mar 24, 2001",256,2,8,22464,France,Arsenal,"1,92 m","€80.00m May 30, 2025",William Saliba,28,0,Centre-Back,https://www.transfermarkt.com/william-saliba/profil/spieler/495666,51,-,2,"4,466'"
35,Bertolucci Sports,"Jul 19, 1989",330,26,,29665,Brazil,Arsenal,"1,90 m","€1.50m May 30, 2025",Neto,1,0,Goalkeeper,https://www.transfermarkt.com/neto/profil/spieler/111819,4,,,360'
25,FairSport,"Feb 15, 2000",201,11,8,15432,Poland,Arsenal,"1,89 m","€28.00m May 30, 2025",Jakub Kiwior,35,2,Centre-Back,https://www.transfermarkt.com/jakub-kiwior/profil/spieler/425918,30,2,1,"2,155'"
28,,"Dec 15, 1996",,,,,Ukraine,Arsenal,"1,75 m","€20.00m May 30, 2025",Oleksandr Zinchenko,74,12,Left-Back,https://www.transfermarkt.com/oleksandr-zinchenko/profil/spieler/203853,23,1,1,789'
23,,"May 19, 2002",158,15,12,9979,Italy,Arsenal,"1,88 m","€35.00m May 30, 2025",Riccardo Calafiori,9,0,Left-Back,https://www.transfermarkt.com/riccardo-calafiori/profil/spieler/502821,29,2,3,"1,497'"
27,Bertolucci Sports,"Dec 19, 1997",324,5,26,27716,Brazil,Arsenal,"1,90 m","€75.00m May 30, 2025",Gabriel Magalhães,14,1,Centre-Back,https://www.transfermarkt.com/gabriel-magalhaes/profil/spieler/435338,42,3,5,"3,500'"
18,,"Sep 26, 2006",87,7,6,5831,England,Arsenal,"1,78 m","€45.00m May 30, 2025",Myles Lewis-Skelly,3,1,Left-Back,https://www.transfermarkt.com/myles-lewis-skelly/profil/spieler/890721,42,3,1,"2,543'"
28,CAA Stellar,"Jun 5, 1997",342,53,14,24802,Scotland,Arsenal,"1,80 m","€9.00m May 30, 2025",Kieran Tierney,50,1,Left-Back,https://www.transfermarkt.com/kieran-tierney/profil/spieler/300716,20,-,1,447'
27,,"Oct 8, 1997",359,23,10,29897,England,Arsenal,"1,86 m","€45.00m May 30, 2025",Ben White,4,0,Right-Back,https://www.transfermarkt.com/ben-white/profil/spieler/335721,26,2,-,"1,531'"
26,UDN SPORTS,"Nov 5, 1998",246,10,7,18663,Japan,Arsenal,"1,88 m","€18.00m May 30, 2025",Takehiro Tomiyasu,42,1,Right-Back,https://www.transfermarkt.com/takehiro-tomiyasu/profil/spieler/331560,1,-,-,6'
24,Forza Sports Group,"Jun 17, 2001",284,12,15,23169,Netherlands,Arsenal,"1,79 m","€55.00m May 30, 2025",Jurrien Timber,18,0,Right-Back,https://www.transfermarkt.com/jurrien-timber/profil/spieler/420243,48,4,2,"3,680'"
32,,"Jun 13, 1993",458,21,38,31835,Ghana,Arsenal,"1,85 m","€14.00m May 30, 2025",Thomas Partey,51,14,Defensive Midfield,https://www.transfermarkt.com/thomas-partey/profil/spieler/230784,52,3,4,"3,946'"
26,,"Jan 14, 1999",382,34,31,31962,England,Arsenal,"1,88 m","€120.00m May 30, 2025",Declan Rice,66,5,Central Midfield,https://www.transfermarkt.com/declan-rice/profil/spieler/357662,52,10,9,"4,128'"
29,,"Jun 22, 1996",387,41,45,28902,Spain,Arsenal,"1,89 m","€35.00m May 30, 2025",Mikel Merino,35,4,Central Midfield,https://www.transfermarkt.com/mikel-merino/profil/spieler/338424,44,5,9,"2,635'"
30,,"Dec 4, 1994",471,67,130,31600,Belgium,Arsenal,"1,72 m","€22.00m May 30, 2025",Leandro Trossard,45,10,Left Winger,https://www.transfermarkt.com/leandro-trossard/profil/spieler/144028,56,10,10,"3,454'"
26,Nordic Sky,"Dec 17, 1998",414,80,72,31185,Norway,Arsenal,"1,78 m","€85.00m May 30, 2025",Martin Ødegaard,65,3,Attacking Midfield,https://www.transfermarkt.com/martin-odegaard/profil/spieler/316264,45,12,6,"3,447'"
24,Roc Nation Sports,"Jun 18, 2001",243,31,57,15402,Brazil,Arsenal,"1,78 m","€55.00m May 30, 2025",Gabriel Martinelli,18,2,Left Winger,https://www.transfermarkt.com/gabriel-martinelli/profil/spieler/655488,51,6,10,"3,564'"
23,,"Sep 5, 2001",316,86,92,23501,England,Arsenal,"1,78 m","€150.00m May 30, 2025",Bukayo Saka,44,12,Right Winger,https://www.transfermarkt.com/bukayo-saka/profil/spieler/433177,37,14,12,"2,619'"
18,Unique Sports Group,"Mar 21, 2007",91,12,36,5305,England,Arsenal,"1,76 m","€55.00m May 30, 2025",Ethan Nwaneri,5,1,Right Winger,https://www.transfermarkt.com/ethan-nwaneri/profil/spieler/890719,37,2,9,"1,378'"
30,,"Dec 8, 1994",599,133,182,42819,England,Arsenal,"1,70 m","€10.00m May 30, 2025",Raheem Sterling,82,20,Right Winger,https://www.transfermarkt.com/raheem-sterling/profil/spieler/134425,28,5,1,"1,143'"
26,ROOF,"Jun 11, 1999",441,64,135,32534,Germany,Arsenal,"1,93 m","€65.00m May 30, 2025",Kai Havertz,55,20,Centre-Forward,https://www.transfermarkt.com/kai-havertz/profil/spieler/309400,36,5,15,"2,809'"
28,,"Apr 3, 1997",415,73,149,25490,Brazil,Arsenal,"1,75 m","€32.00m May 30, 2025",Gabriel Jesus,64,19,Centre-Forward,https://www.transfermarkt.com/gabriel-jesus/profil/spieler/363205,27,2,7,"1,204'"
27,CAA Stellar,"Nov 18, 1997",242,21,,21695,Spain,Chelsea,"1,97 m","€20.00m May 30, 2025",Robert Sánchez,,,Goalkeeper,https://www.transfermarkt.com/robert-sanchez/profil/spieler/403151,36,,,"3,240'"
19,MARTIN RIHA,"Jul 31, 2005",72,3,,6510,Belgium,Chelsea,"2,00 m","€12.00m Jun 12, 2025",Mike Penders,0,0,Goalkeeper,https://www.transfermarkt.com/mike-penders/profil/spieler/834397,35,,,"3,180'"
23,Goal Management,"Apr 16, 2002",114,8,,10079,Denmark,Chelsea,"1,92 m","€18.00m May 30, 2025",Filip Jørgensen,1,0,Goalkeeper,https://www.transfermarkt.com/filip-jorgensen/profil/spieler/585323,,,,
21,,"May 15, 2004",99,4,,8910,States,Chelsea,"1,93 m","€3.50m May 30, 2025",Gabriel Slonina,0,0,Goalkeeper,https://www.transfermarkt.com/gabriel-slonina/profil/spieler/656316,14,,,"1,260'"
22,,"Feb 26, 2003",175,7,6,14066,England,Chelsea,"1,87 m","€55.00m May 30, 2025",Levi Colwill,5,0,Centre-Back,https://www.transfermarkt.com/levi-colwill/profil/spieler/614258,40,1,2,"3,449'"
22,CAA Stellar,"Sep 5, 2002",87,1,,7776,Finland,Chelsea,"2,05 m","€700k May 30, 2025",Lucas Bergström,19,0,Goalkeeper,https://www.transfermarkt.com/lucas-bergstrom/profil/spieler/490606,5,,,441'
21,,"Jul 29, 2003",138,4,11,10150,Portugal,Chelsea,"1,90 m","€25.00m Jun 17, 2025",Renato Veiga,5,0,Centre-Back,https://www.transfermarkt.com/renato-veiga/profil/spieler/805714,33,2,2,"2,362'"
24,,"Dec 17, 2000",131,1,5,10788,France,Chelsea,"1,85 m","€25.00m May 30, 2025",Wesley Fofana,1,0,Centre-Back,https://www.transfermarkt.com/wesley-fofana/profil/spieler/475411,14,-,-,"1,176'"
25,,"Jul 5, 1999",300,10,17,23337,England,Chelsea,"1,92 m","€25.00m May 30, 2025",Trevoh Chalobah,1,0,Centre-Back,https://www.transfermarkt.com/trevoh-chalobah/profil/spieler/346314,34,1,3,"2,669'"
24,,"Mar 26, 2001",210,5,8,17247,France,Chelsea,"1,94 m","€22.00m May 30, 2025",Benoît Badiashile,,,Centre-Back,https://www.transfermarkt.com/benoit-badiashile/profil/spieler/463603,20,-,-,"1,609'"
19,Classico,"Aug 29, 2005",84,1,4,6569,France,Chelsea,"1,94 m","€20.00m Jun 3, 2025",Mamadou Sarr,2,0,Centre-Back,https://www.transfermarkt.com/mamadou-sarr/profil/spieler/910905,29,1,-,"2,527'"
27,,"Sep 24, 1997",323,6,13,26966,England,Chelsea,"1,97 m","€20.00m May 30, 2025",Tosin Adarabioyo,1,0,Centre-Back,https://www.transfermarkt.com/tosin-adarabioyo/profil/spieler/258878,38,1,4,"2,800'"
26,Dupla Piqué & ...,"Jul 22, 1998",334,29,17,27158,Spain,Chelsea,"1,73 m","€35.00m May 30, 2025",Marc Cucurella,17,0,Left-Back,https://www.transfermarkt.com/marc-cucurella/profil/spieler/284857,,,,
22,Wasserman,"May 19, 2003",160,18,2,10134,France,Chelsea,"1,78 m","€35.00m May 30, 2025",Malo Gusto,,,Right-Back,https://www.transfermarkt.com/malo-gusto/profil/spieler/620322,43,2,-,"2,453'"
20,,"Apr 29, 2005",31,3,2,2341,Argentina,Chelsea,"1,86 m","€8.00m May 30, 2025",Aarón Anselmino,0,0,Centre-Back,https://www.transfermarkt.com/aaron-anselmino/profil/spieler/1145504,,,,
19,,"May 5, 2006",52,5,5,3808,England,Chelsea,"1,85 m","€8.00m May 30, 2025",Josh Acheampong,2,0,Right-Back,https://www.transfermarkt.com/josh-acheampong/profil/spieler/1004708,18,1,-,"1,234'"
25,Unique Sports Group,"Dec 8, 1999",312,41,22,23088,England,Chelsea,"1,80 m","€30.00m May 30, 2025",Reece James,,,Right-Back,https://www.transfermarkt.com/reece-james/profil/spieler/472423,29,2,2,"1,627'"
23,AS1,"Nov 2, 2001",201,15,14,16000,Ecuador,Chelsea,"1,78 m","€90.00m May 30, 2025",Moisés Caicedo,55,3,Defensive Midfield,https://www.transfermarkt.com/moises-caicedo/profil/spieler/687626,47,5,2,"3,989'"
